source_id,university,department,faculty_url,parser,enabled,notes
SNU_PHARM,Seoul National University,College of Pharmacy,https://snupharm.snu.ac.kr/%EA%B5%90%EC%88%98%EC%A7%84/,generic_card,yes,official faculty page
SNU_BIOMED,Seoul National University,Graduate School of Biomedical Sciences,http://biomed.snu.ac.kr/research-faculty/faculty,generic_card,yes,official faculty page
SNU_BIOENG,Seoul National University,Bioengineering,https://bioeng.snu.ac.kr/%EA%B5%90%EC%88%98%EC%A7%84-%EB%AA%A9%EB%A1%9D/,generic_card,yes,official faculty page
YONSEI_PHARM,Yonsei University,College of Pharmacy,https://pharmacy.yonsei.ac.kr/pharmacy/intro/professor1.do,generic_card,yes,official faculty page
YONSEI_MED,Yonsei University,College of Medicine,https://medicine.yonsei.ac.kr/medicine/about/professor/basic.do,generic_card,yes,official faculty page
KU_PHARM,Korea University,College of Pharmacy,https://pharm.korea.ac.kr/faculty/8670/subview.do,generic_card,yes,official faculty page
KU_BIOGRAD,Korea University,Graduate School of Integrated Biotechnology,https://biograduate.korea.ac.kr/biograd/about/fac.do,generic_card,yes,official faculty page
AUTO_SNU_9774D0,Seoul National University,응용바이오공학과,https://convergence.snu.ac.kr/professor/,photo_anchor,yes,auto-crawl: 전임교원 - 서울대학교 융합과학기술대학원 (23 faculty)
AUTO_SNU_A02205,Seoul National University,응용바이오공학과,https://convergence.snu.ac.kr/professor_appl,photo_anchor,yes,auto-crawl: 교수진(응용바이오공학과) - 서울대학교 융합과학기술대학원 (6 faculty)
AUTO_SNU_6C3308,Seoul National University,분자의학및바이오제약학과,https://convergence.snu.ac.kr/professor_mmbs,photo_anchor,yes,auto-crawl: 교수진(분자의학및바이오제약학과) - 서울대학교 융합과학기술대학원 (8 faculty)
AUTO_SNU_48009B,Seoul National University,자유전공학부 바로가기,https://cls.snu.ac.kr/%ed%98%84%ec%a7%81-%ea%b5%90%ec%88%98/,photo_anchor,yes,auto-crawl: 현직 교수 - 자유전공학부 (12 faculty)
AUTO_SNU_671567,Seoul National University,자유전공학부 바로가기,https://cls.snu.ac.kr/%ec%a0%84%ec%a7%81-%ea%b5%90%ec%88%98_%ec%a0%84%ec%9e%84/,photo_anchor,yes,auto-crawl: 전직 교수_전임 - 자유전공학부 (3 faculty)
AUTO_SNU_704D6C,Seoul National University,자유전공학부 바로가기,https://cls.snu.ac.kr/%ec%a0%84%ec%a7%81-%ea%b5%90%ec%88%98_%ea%b2%b8%eb%ac%b4/,photo_anchor,yes,auto-crawl: 전직 교수_겸무 - 자유전공학부 (22 faculty)
AUTO_SNU_C7B566,Seoul National University,농업생명과학대학(8개),http://cals.snu.ac.kr/about/organization/search/faculty,photo_anchor,yes,auto-crawl: 교수진 - 조직 및 구성원 - 대학안내 - 서울대학교 농업생명과학대학 (10 faculty)
AUTO_SNU_12D569,Seoul National University,농업생명과학대학(8개),https://cals.snu.ac.kr/about/organization/search/faculty,photo_anchor,yes,auto-crawl: 교수진 - 조직 및 구성원 - 대학안내 - 서울대학교 농업생명과학대학 (10 faculty)
AUTO_SNU_A66564,Seoul National University,약학대학(2개),https://snupharm.snu.ac.kr/%ea%b5%90%ec%88%98%ec%a7%84/,photo_anchor,yes,auto-crawl: 교수진 - 서울대학교 약학대학 (47 faculty)
AUTO_SKKU_290152,Sungkyunkwan University,Faculty 1 페이지,http://bio.skku.edu/bbs/board.php?bo_table=F1,photo_anchor,yes,auto-crawl: Faculty 1 페이지 (21 faculty)
AUTO_HANYANG_269F85,Hanyang University,약학대학,http://pharmacy.hanyang.ac.kr/front/professors/professor,photo_anchor,yes,auto-crawl: 한양대학교 약학대학 (18 faculty)
AUTO_HANYANG_FC7F73,Hanyang University,신경과학교실,https://medix.hanyang.ac.kr/-02-3-9-faculty,photo_anchor,yes,auto-crawl: 교수소개 - 의과대학 - 한양대학교 (10 faculty)
AUTO_HANYANG_24A3E2,Hanyang University,생화학·분자생물학교실,https://medix.hanyang.ac.kr/-02-2-4-faculty,photo_anchor,yes,auto-crawl: 교수소개 - 의과대학 - 한양대학교 (3 faculty)
AUTO_HANYANG_02012E,Hanyang University,해부·세포생물학교실,https://medix.hanyang.ac.kr/-02-2-12-faculty,photo_anchor,yes,auto-crawl: 교수소개 - 의과대학 - 한양대학교 (4 faculty)
AUTO_HANYANG_E49DA0,Hanyang University,신경과학교실,https://site.hanyang.ac.kr/ko/web/medix/-02-3-9-faculty,photo_anchor,yes,auto-crawl: 교수소개 - 의과대학 - 한양대학교 (10 faculty)
AUTO_HANYANG_7EF04A,Hanyang University,생화학·분자생물학교실,https://site.hanyang.ac.kr/ko/web/medix/-02-2-4-faculty,photo_anchor,yes,auto-crawl: 교수소개 - 의과대학 - 한양대학교 (3 faculty)
