openalex_subfield,category
Immunology,면역·감염
Infectious Diseases,면역·감염
Parasitology,면역·감염
Microbiology,면역·감염
Virology,면역·감염
Immunology and Allergy,면역·감염
체외면역 평가,면역·감염
Oncology,암·종양
Cancer Research,암·종양
Hematology,암·종양
면역항암,암·종양
Neurology,신경과학
Cellular and Molecular Neuroscience,신경과학
Cognitive Neuroscience,신경과학
Developmental Neuroscience,신경과학
Sensory Systems,신경과학
Psychiatry and Mental health,신경과학
Behavioral Neuroscience,신경과학
Pharmacology,약학·신약
Pharmaceutical Science,약학·신약
Pharmacology (medical),약학·신약
Drug Discovery,약학·신약
Organic Chemistry,약학·신약
Analytical Chemistry,약학·신약
Spectroscopy,약학·신약
"Health, Toxicology and Mutagenesis",약학·신약
Toxicology,약학·신약
Complementary and alternative medicine,약학·신약
Molecular Biology,분자·세포생물
Cell Biology,분자·세포생물
Biochemistry,분자·세포생물
Biophysics,분자·세포생물
Molecular Medicine,분자·세포생물
Clinical Biochemistry,분자·세포생물
Aging,분자·세포생물
Structural Biology,분자·세포생물
Developmental Biology,분자·세포생물
세포치료,분자·세포생물
Genetics,유전체·생물정보
Computational Theory and Mathematics,유전체·생물정보
Artificial Intelligence,유전체·생물정보
Computer Science Applications,유전체·생물정보
Statistics and Probability,유전체·생물정보
합성생물학,유전체·생물정보
Biomedical Engineering,의공학·바이오소재
Biomaterials,의공학·바이오소재
Biotechnology,의공학·바이오소재
Bioengineering,의공학·바이오소재
Materials Chemistry,의공학·바이오소재
Ceramics and Composites,의공학·바이오소재
Mechanics of Materials,의공학·바이오소재
Electrical and Electronic Engineering,의공학·바이오소재
Civil and Structural Engineering,의공학·바이오소재
의료용 고분자,의공학·바이오소재
Physiology,생리·대사
"Endocrinology, Diabetes and Metabolism",생리·대사
Endocrinology,생리·대사
Endocrine and Autonomic Systems,생리·대사
Nutrition and Dietetics,생리·대사
Surgery,임상의학
Pulmonary and Respiratory Medicine,임상의학
"Radiology, Nuclear Medicine and Imaging",임상의학
Pathology and Forensic Medicine,임상의학
Cardiology and Cardiovascular Medicine,임상의학
Nephrology,임상의학
Dermatology,임상의학
Geriatrics and Gerontology,임상의학
Rheumatology,임상의학
"Pediatrics, Perinatology and Child Health",임상의학
Hepatology,임상의학
Gastroenterology,임상의학
Obstetrics and Gynecology,임상의학
Reproductive Medicine,임상의학
Transplantation,임상의학
Orthopedics and Sports Medicine,임상의학
Rehabilitation,임상의학
Oral Surgery,임상의학
Critical Care and Intensive Care Medicine,임상의학
Otorhinolaryngology,임상의학
Ophthalmology,임상의학
Speech and Hearing,임상의학
Occupational Therapy,임상의학
General Health Professions,임상의학
Urology,임상의학
Anesthesiology and Pain Medicine,임상의학
Emergency Medicine,임상의학
Internal Medicine,임상의학
Epidemiology,보건·역학
"Public Health, Environmental and Occupational Health",보건·역학
Demography,보건·역학
Health,보건·역학
Health Policy,보건·역학
Leadership and Management,보건·역학
Plant Science,농생명·식품·생태
Food Science,농생명·식품·생태
Agronomy and Crop Science,농생명·식품·생태
Insect Science,농생명·식품·생태
Animal Science and Zoology,농생명·식품·생태
Small Animals,농생명·식품·생태
Ecology,농생명·식품·생태
"Ecology, Evolution, Behavior and Systematics",농생명·식품·생태
Water Science and Technology,농생명·식품·생태
Nature and Landscape Conservation,농생명·식품·생태
Global and Planetary Change,농생명·식품·생태
Horticulture,농생명·식품·생태
Forestry,농생명·식품·생태
