"korean","english"
"T세포","T-Lymphocytes|T cell|CD8-Positive T-Lymphocytes|CD4-Positive T-Lymphocytes"
"B세포","B-Lymphocytes|B cell"
"NK세포","Killer Cells, Natural|NK cell"
"대식세포","Macrophages|macrophage"
"수지상세포","Dendritic Cells|dendritic cell"
"면역항암","Immunotherapy|Immune Checkpoint Inhibitors|cancer immunotherapy|Tumor Microenvironment"
"면역치료","Immunotherapy|Immunotherapy, Adoptive"
"카티","Receptors, Chimeric Antigen|CAR-T|chimeric antigen receptor"
"세포치료","Cell- and Tissue-Based Therapy|Immunotherapy, Adoptive|cell therapy"
"줄기세포","Stem Cells|Induced Pluripotent Stem Cells|Mesenchymal Stem Cells|stem cell"
"유전자가위","CRISPR-Cas Systems|Gene Editing|CRISPR"
"크리스퍼","CRISPR-Cas Systems|Gene Editing|CRISPR"
"유전자치료","Genetic Therapy|gene therapy"
"항체","Antibodies, Monoclonal|antibody"
"단일세포","Single-Cell Analysis|single-cell RNA sequencing|single-cell"
"유세포분석","Flow Cytometry"
"오가노이드","Organoids|organoid"
"엑소좀","Exosomes|Extracellular Vesicles|exosome"
"나노입자","Nanoparticles|nanoparticle"
"약물전달","Drug Delivery Systems|drug delivery"
"하이드로젤","Hydrogels|hydrogel"
"마이크로바이옴","Microbiota|Gastrointestinal Microbiome|microbiome"
"장내미생물","Gastrointestinal Microbiome|gut microbiota"
"알츠하이머","Alzheimer Disease|Alzheimer's disease"
"파킨슨","Parkinson Disease|Parkinson's disease"
"치매","Dementia|Alzheimer Disease"
"뇌졸중","Stroke|Ischemic Stroke"
"우울증","Depression|Depressive Disorder, Major"
"당뇨","Diabetes Mellitus|Diabetes Mellitus, Type 2|diabetes"
"비만","Obesity|obesity"
"암","Neoplasms|cancer|tumor"
"폐암","Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|lung cancer"
"유방암","Breast Neoplasms|breast cancer"
"간암","Liver Neoplasms|Carcinoma, Hepatocellular|hepatocellular carcinoma"
"대장암","Colorectal Neoplasms|colorectal cancer"
"위암","Stomach Neoplasms|gastric cancer"
"췌장암","Pancreatic Neoplasms|pancreatic cancer"
"백혈병","Leukemia|leukemia"
"감염","Infections|infection"
"바이러스","Viruses|Virus Diseases|virus"
"코로나","COVID-19|SARS-CoV-2"
"결핵","Tuberculosis|Mycobacterium tuberculosis"
"백신","Vaccines|vaccine"
"염증","Inflammation|inflammation"
"노화","Aging|Cellular Senescence|aging"
"대사","Metabolism|Energy Metabolism|metabolism"
"미토콘드리아","Mitochondria|mitochondria"
"단백질구조","Protein Conformation|Cryoelectron Microscopy|Crystallography, X-Ray"
"질량분석","Mass Spectrometry|Tandem Mass Spectrometry"
"단백체","Proteomics|proteomics"
"대사체","Metabolomics|metabolomics"
"유전체","Genomics|Whole Genome Sequencing|genome"
"생물정보","Computational Biology|bioinformatics"
"인공지능","Artificial Intelligence|Machine Learning|Deep Learning"
"머신러닝","Machine Learning|machine learning"
"딥러닝","Deep Learning|deep learning"
"신약개발","Drug Discovery|drug discovery"
"천연물","Biological Products|Plant Extracts|natural products"
"약동학","Pharmacokinetics|pharmacokinetics"
"독성","Toxicity Tests|toxicity"
"의공학","Biomedical Engineering|Biocompatible Materials"
"조직공학","Tissue Engineering|Tissue Scaffolds|Bioprinting"
"식물","Plants|Arabidopsis|plant"
"식품","Food|Food Microbiology|food"
