openalex_id,display_name,review_status
A5102970348,Je-Jung Lee,done
A5064161026,Hyeoung-Joon Kim,done
A5077539926,Sungho Jang,done
A5072950930,Byung Eun Min,done
A5063762312,Sang-Ki Kim,done
A5000328867,Myung Hyun Noh,done
A5045222188,HongBi Yu,done
A5100739943,Hyun-Young Kim,done
A5100694944,Seong-Eun Kim,done
A5083853234,Yong Hee Han,done
A5059129862,Seo-Yeon Ahn,done
A5100366805,Jin-Ho Kim,done
A5026607578,Tan-Huy Chu,done
A5068416755,Sung-Hoon Jung,done
A5028790314,Dong Keun Han,done
A5082510130,Se Yeon Kim,done
A5069444992,Sungjee Kim,done
A5028222807,Manh-Cuong Vo,done
A5047859685,Sanguk Kim,done
A5012598761,Jun Hong Jeong,done
A5055907176,SoonHo Kweon,done
A5022299245,Sangbin Han,done
A5016925154,Sanghak Cha,done
A5057234589,Byoung-Gie Kim,done
A5075962780,Wooram Park,done
A5068736163,Ilwoong Hwang,done
A5063559979,Yuree Lim,done
A5003283147,Woong-Yang Park,done
A5076271673,Youngil Koh,done
A5100410174,Seung-Hwan Lee,done
A5101642438,Joung Eun Lim,done
