"technique","label_en","pattern"
"유세포분석","Flow Cytometry","flow cytometr|\bfacs\b|mass cytometr|cytof"
"단일세포 분석","Single-cell Analysis","single[- ]cell|scrna|sc-rna"
"RNA-seq·전사체","RNA-seq / Transcriptomics","rna[- ]seq|sequence analysis, rna|transcriptom|gene expression profiling"
"차세대 시퀀싱(NGS)","Next-generation Sequencing","high-throughput nucleotide sequencing|whole genome sequencing|exome sequencing|next[- ]generation sequencing|\bngs\b|genome sequencing"
"후성유전 분석","Epigenomics (ChIP/ATAC-seq)","chromatin immunoprecipitation|chip-seq|atac-seq|dna methylation analysis|bisulfite"
"CRISPR 유전자편집","CRISPR Gene Editing","crispr|gene editing|\bcas9\b|base edit|prime edit"
"질량분석","Mass Spectrometry","mass spectrometr|lc-ms|lc/ms|maldi|\bms/ms\b"
"단백체","Proteomics","proteomic"
"대사체·지질체","Metabolomics / Lipidomics","metabolomic|lipidomic"
"크라이오전자현미경","Cryo-EM","cryoelectron|cryo-em|cryo electron"
"X선 결정학·구조분석","X-ray Crystallography","crystallograph|x-ray diffraction|nuclear magnetic resonance, biomolecular"
"형광·공초점 이미징","Fluorescence / Confocal Imaging","microscopy, confocal|confocal|fluorescence microscop|two-photon|super-resolution|intravital|live[- ]cell imaging"
"전자현미경","Electron Microscopy","microscopy, electron|electron microscop"
"MRI·PET 영상","MRI / PET Imaging","magnetic resonance imaging|positron[- ]emission|\bmri\b|\bfmri\b|\bpet[-/ ](?:ct|mri|imaging|scan)|\bfdg\b"
"전기생리","Electrophysiology","patch[- ]clamp|electrophysiolog"
"광유전학","Optogenetics","optogenetic|chemogenetic|dreadd"
"칼슘 이미징","Calcium Imaging","calcium imaging"
"오가노이드","Organoids","organoid"
"줄기세포·iPSC","Stem Cells / iPSC","induced pluripotent|\bipsc|embryonic stem cells|mesenchymal stem cells"
"유전자변형 마우스","Genetically Modified Mice","mice, transgenic|mice, knockout|knockout mice|transgenic mice|conditional knockout|knock-in"
"종양 이종이식 모델","Xenograft Models","xenograft"
"제브라피시","Zebrafish","zebrafish"
"초파리","Drosophila","drosophila"
"예쁜꼬마선충","C. elegans","caenorhabditis|c\. elegans"
"애기장대·식물 모델","Arabidopsis","arabidopsis"
"qPCR","Real-time PCR","real-time polymerase chain reaction|\bqpcr\b|\brt-pcr\b|real-time pcr"
"면역조직화학","Immunohistochemistry","immunohistochemi|\bihc\b"
"ELISA","ELISA","enzyme-linked immunosorbent|\belisa\b"
"웨스턴블롯","Western Blot","blotting, western|western blot"
"분자도킹·시뮬레이션","Molecular Docking / Dynamics","molecular docking|molecular dynamics|in silico|virtual screening"
"머신러닝·AI","Machine Learning / AI","machine learning|deep learning|artificial intelligence|neural network"
"생물정보·계산생물","Bioinformatics","computational biology|bioinformatic"
"GWAS·유전역학","GWAS / Genetic Epidemiology","genome-wide association|mendelian randomization|polygenic"
"나노입자·약물전달","Nanoparticles / Drug Delivery","nanoparticle|liposome|drug delivery|nanomedicine|lipid nanoparticle"
"하이드로젤·스캐폴드","Hydrogels / Scaffolds","hydrogel|tissue scaffold|porous scaffold|3d scaffold|electrospun"
"조직공학·바이오프린팅","Tissue Engineering / Bioprinting","tissue engineering|bioprint|3d print"
"미세유체·장기칩","Microfluidics / Organ-on-a-chip","microfluidic|lab-on-a-chip|organ-on-a-chip"
"엑소좀·세포외소포","Exosomes / EVs","exosome|extracellular vesicle"
"CAR-T·입양세포치료","CAR-T / Adoptive Cell Therapy","chimeric antigen|\bcar[- ]t\b|immunotherapy, adoptive"
"항체 개발","Antibody Engineering","antibodies, monoclonal|monoclonal antibod|antibody engineering|bispecific|antibody-drug conjugate"
"RNA 치료제·siRNA","RNA Therapeutics","rna, small interfering|\bsirna\b|antisense oligonucleotide|mrna vaccine|mrna therap"
"임상시험","Clinical Trials","clinical trial|randomized controlled"
