university,name_ko,official_domain,region,org_type
Seoul National University,서울대학교,snu.ac.kr,서울,university
Yonsei University,연세대학교,yonsei.ac.kr,서울,university
Korea University,고려대학교,korea.ac.kr,서울,university
Sungkyunkwan University,성균관대학교,skku.edu,서울,university
Hanyang University,한양대학교,hanyang.ac.kr,서울,university
Kyung Hee University,경희대학교,khu.ac.kr,서울,university
Ewha Womans University,이화여자대학교,ewha.ac.kr,서울,university
Chung-Ang University,중앙대학교,cau.ac.kr,서울,university
Ajou University,아주대학교,ajou.ac.kr,경기·인천,university
Inha University,인하대학교,inha.ac.kr,경기·인천,university
The Catholic University of Korea,가톨릭대학교,catholic.ac.kr,서울,university
University of Ulsan,울산대학교,ulsan.ac.kr,부산·울산·경남,university
Konkuk University,건국대학교,konkuk.ac.kr,서울,university
Dongguk University,동국대학교,dongguk.edu,서울,university
Sogang University,서강대학교,sogang.ac.kr,서울,university
Kookmin University,국민대학교,kookmin.ac.kr,서울,university
Sejong University,세종대학교,sejong.ac.kr,서울,university
University of Seoul,서울시립대학교,uos.ac.kr,서울,university
Incheon National University,인천대학교,inu.ac.kr,경기·인천,university
Sookmyung Women's University,숙명여자대학교,sookmyung.ac.kr,서울,university
Duksung Women's University,덕성여자대학교,duksung.ac.kr,서울,university
Dongduk Women's University,동덕여자대학교,dongduk.ac.kr,서울,university
Sahmyook University,삼육대학교,syu.ac.kr,서울,university
CHA University,차의과학대학교,cha.ac.kr,경기·인천,university
Gachon University,가천대학교,gachon.ac.kr,경기·인천,university
Hallym University,한림대학교,hallym.ac.kr,강원,university
Soonchunhyang University,순천향대학교,sch.ac.kr,대전·충청,university
Inje University,인제대학교,inje.ac.kr,부산·울산·경남,university
Eulji University,을지대학교,eulji.ac.kr,대전·충청,university
Dankook University,단국대학교,dankook.ac.kr,경기·인천,university
Catholic Kwandong University,가톨릭관동대학교,cku.ac.kr,강원,university
Seoul National University of Science and Technology,서울과학기술대학교,seoultech.ac.kr,서울,university
Pusan National University,부산대학교,pusan.ac.kr,부산·울산·경남,university
Kosin University,고신대학교,kosin.ac.kr,부산·울산·경남,university
Kyungsung University,경성대학교,ks.ac.kr,부산·울산·경남,university
Kyungpook National University,경북대학교,knu.ac.kr,대구·경북,university
Keimyung University,계명대학교,kmu.ac.kr,대구·경북,university
Yeungnam University,영남대학교,yu.ac.kr,대구·경북,university
Daegu Catholic University,대구가톨릭대학교,cu.ac.kr,대구·경북,university
Chonnam National University,전남대학교,jnu.ac.kr,광주·전라,university
Chosun University,조선대학교,chosun.ac.kr,광주·전라,university
Sunchon National University,순천대학교,scnu.ac.kr,광주·전라,university
Mokpo National University,목포대학교,mokpo.ac.kr,광주·전라,university
Jeonbuk National University,전북대학교,jbnu.ac.kr,광주·전라,university
Wonkwang University,원광대학교,wku.ac.kr,광주·전라,university
Woosuk University,우석대학교,woosuk.ac.kr,광주·전라,university
Chungnam National University,충남대학교,cnu.ac.kr,대전·충청,university
Chungbuk National University,충북대학교,chungbuk.ac.kr,대전·충청,university
Gyeongsang National University,경상국립대학교,gnu.ac.kr,부산·울산·경남,university
Kangwon National University,강원대학교,kangwon.ac.kr,강원,university
Jeju National University,제주대학교,jejunu.ac.kr,제주,university
POSTECH,포항공과대학교,postech.ac.kr,대구·경북,university
KAIST,한국과학기술원,kaist.ac.kr,대전·충청,university
UNIST,울산과학기술원,unist.ac.kr,부산·울산·경남,university
GIST,광주과학기술원,gist.ac.kr,광주·전라,university
DGIST,대구경북과학기술원,dgist.ac.kr,대구·경북,university
Korea Institute of Science and Technology,한국과학기술연구원,kist.re.kr,서울,institute
Korea Research Institute of Bioscience and Biotechnology,한국생명공학연구원,kribb.re.kr,대전·충청,institute
Korea Research Institute of Chemical Technology,한국화학연구원,krict.re.kr,대전·충청,institute
Institute for Basic Science,기초과학연구원,ibs.re.kr,대전·충청,institute
Korea Brain Research Institute,한국뇌연구원,kbri.re.kr,대구·경북,institute
Korea Institute of Oriental Medicine,한국한의학연구원,kiom.re.kr,대전·충청,institute
Korea Institute of Toxicology,안전성평가연구소,kitox.re.kr,대전·충청,institute
Korea Basic Science Institute,한국기초과학지원연구원,kbsi.re.kr,대전·충청,institute
Korea Food Research Institute,한국식품연구원,kfri.re.kr,광주·전라,institute
National Cancer Center,국립암센터,ncc.re.kr,경기·인천,institute
Korea National Institute of Health,국립보건연구원,nih.go.kr,대전·충청,institute
Institut Pasteur Korea,한국파스퇴르연구소,ip-korea.org,경기·인천,institute
Korea Institute of Radiological and Medical Sciences,한국원자력의학원,kirams.re.kr,서울,institute
Korea Research Institute of Standards and Science,한국표준과학연구원,kriss.re.kr,대전·충청,institute
