openalex_id,approved,name_ko,name_en,university,department,primary_field,source_url,auto_decision,auto_confidence,auto_reason,triage_tier,shared_paper_count,connected_seed_professor_ids,web_title,current_affiliation
A5068463807,yes,조덕,Duck Cho,Samsung (South Korea); Samsung Medical Center; Sungkyunkwan University,,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,9,P0001; P0003,,Samsung (South Korea); Samsung Medical Center; Sungkyunkwan University
A5100642851,yes,김병수,Byung soo Kim,Inje University; Ulsan College; Daejeon University; Pohang University of Science and Technology; University of Seoul; SK Group (South Korea); Seoul National University; Incheon National University; Illinois College; Inha University; Yonsei University; Chungnam National University; Korea Electrotechnology Research Institute; Korea University; Samsung (South Korea); Konkuk University; Severance Hospital; Korea University Medical Center; Seoul Metropolitan Government; Asan Medical Center; New Generation University College; Seoul National University Bundang Hospital; Kyungpook National University; Kyung Hee University; University of Illinois Chicago; Gwangju Institute of Science and Technology; University of Ulsan; Konkuk University Medical Center; SNUH SMG-SNU Boramae Medical Center; Kangbuk Samsung Hospital; Institute for Basic Science; Pusan National University Hospital; Health Insurance Review and Assessment Service; National Cancer Center; National University College; Cancer Research Center; Keimyung University Dongsan Medical Center; Regenerative Medicine Institute; Gangnam Severance Hospital; Korea Research Institute of Chemical Technology; Hanyang University; Pusan National University; Dong-A University; University of Virginia; Keimyung University; Jeonbuk National University; Sungkyunkwan University; Catholic University of Korea; Korea University of Science and Technology; Korea Institute of Industrial Technology,,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,4,P0001; P0002; P0003,,Inje University; Ulsan College; Daejeon University; Pohang University of Science and Technology; University of Seoul; SK Group (South Korea); Seoul National University; Incheon National University; Illinois College; Inha University; Yonsei University; Chungnam National University; Korea Electrotechnology Research Institute; Korea University; Samsung (South Korea); Konkuk University; Severance Hospital; Korea University Medical Center; Seoul Metropolitan Government; Asan Medical Center; New Generation University College; Seoul National University Bundang Hospital; Kyungpook National University; Kyung Hee University; University of Illinois Chicago; Gwangju Institute of Science and Technology; University of Ulsan; Konkuk University Medical Center; SNUH SMG-SNU Boramae Medical Center; Kangbuk Samsung Hospital; Institute for Basic Science; Pusan National University Hospital; Health Insurance Review and Assessment Service; National Cancer Center; National University College; Cancer Research Center; Keimyung University Dongsan Medical Center; Regenerative Medicine Institute; Gangnam Severance Hospital; Korea Research Institute of Chemical Technology; Hanyang University; Pusan National University; Dong-A University; University of Virginia; Keimyung University; Jeonbuk National University; Sungkyunkwan University; Catholic University of Korea; Korea University of Science and Technology; Korea Institute of Industrial Technology
A5101235628,no,선형진,Hyungjin Sun,Seoul National University; Bioengineering Center,,,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first,5,P0001; P0002,,Seoul National University; Bioengineering Center
A5007222103,yes,양진아,Jina Yang,Jeju National University,,,,,0.5,manual review needed,A_review_first,45,P0002,,Jeju National University
A5089200258,no,배은아,Eun ah Bae,Discovery Institute; Sanford Burnham Prebys Medical Discovery Institute; Seoul National University; Seoul National University of Science and Technology,,,,,0.5,manual review needed,A_review_first,21,P0003,,Discovery Institute; Sanford Burnham Prebys Medical Discovery Institute; Seoul National University; Seoul National University of Science and Technology
A5007880310,yes,박지훈,Jeehun Park,Kangwon National University,,,,,0.5,manual review needed,A_review_first,17,P0001,,Kangwon National University
A5014839787,yes,임현규,Hyun Gyu Lim,Inha University,,,,,0.5,manual review needed,A_review_first,17,P0002,,Inha University; University of California San Diego; La Jolla Bioengineering Institute; Joint BioEnergy Institute
A5102323160,no,최종철,Jong cheol Choi,In-Q-Tel; Pohang University of Science and Technology; Seoul National University,,,,,0.5,manual review needed,A_review_first,16,P0001,,In-Q-Tel; Pohang University of Science and Technology; Seoul National University
A5072950930,,,Byung Eun Min,Pohang University of Science and Technology,,,,,0.5,manual review needed,A_review_first,15,P0002,,Pohang University of Science and Technology
A5077539926,,,Sungho Jang,Incheon National University,,,,,0.5,manual review needed,A_review_first,15,P0002,,Incheon National University
A5100694944,,,Seong?륟un Kim,Seoul National University of Science and Technology,,,,,0.5,manual review needed,A_review_first,14,P0001,,Seoul National University of Science and Technology
A5083853234,,,Yong Hee Han,Chonnam National University,,,,,0.5,manual review needed,A_review_first,13,P0002,,Chonnam National University
A5101950062,,,Byung?륲eok Kim,Incheon National University,,,,,0.5,manual review needed,A_review_first,12,P0003,,Incheon National University
