openalex_id,display_name,shared_paper_count,seed_connection_count,connected_seed_professor_ids,institutions,country_codes,korea_affiliated,review_priority,example_work,review_status
A5079269717,Gyoo Yeol Jung,128,5,P0001; P0002; P0008; P0010; P0012,Inha University; Pohang University of Science and Technology,KR,yes,140,Simultaneous quantitative detection of 12 pathogens using high‐resolution CE‐SSCP,needs_review
A5050010599,Suk Ho Bhang,85,1,P0007,Emory University; Georgia Institute of Technology; Government of the Republic of Korea; Hanyang University; Korea Advanced Institute of Science and Technology; National University; New Generation University College; Pohang University of Science and Technology; RIKEN BioResource Research Center; Seoul National University; Sungkyunkwan University; Suwon Research Institute; United States Nuclear Regulatory Commission; University of Illinois Chicago; V.I.Shumakov Federal Research Center of Transplantology and Artificial Organs,ET; JP; KR; RU; SD; US,yes,85,Angiogenesis in ischemic tissue produced by spheroid grafting of human adipose-derived stromal cells,needs_review
A5085887595,Chaitany Jayprakash Raorane,77,1,P0012,Yeungnam University,KR,yes,77,"Update on Chitosan-Based Hydrogels: Preparation, Characterization, and Its Antimicrobial and Antibiofilm Applications",needs_review
A5080800139,Rajesh Haldhar,76,1,P0012,Yeungnam University,KR,yes,76,An Overview of Heavy Metal Pollution and Control,needs_review
A5009312981,Myung‐Geun Shin,67,1,P0006,Chonnam National University; Chonnam National University Hospital; Chonnam National University Hwasun Hospital,KR,yes,67,Changes in Karyotype and Azole Susceptibility of Sequential Bloodstream Isolates from Patients with Candida glabrata Candidemia,needs_review
A5102970348,Je‐Jung Lee,49,4,P0001; P0006; P0007; P0009,Chonnam National University; Chonnam National University Hospital; Chonnam National University Hwasun Hospital; Chungnam National University Hospital; Daegu Fatima Hospital; Deleted Institution; Gachon University Gil Medical Center; Kongju National University,KR,yes,58,Expansion of cytotoxic natural killer cells in multiple myeloma patients using K562 cells expressing OX40 ligand and membrane-bound IL-18 and IL-21,needs_review
A5083144436,Soon‐Pal Suh,57,1,P0006,Chonnam National University; Chonnam National University Hospital; Chonnam National University Hwasun Hospital,KR,yes,57,Changes in Karyotype and Azole Susceptibility of Sequential Bloodstream Isolates from Patients with Candida glabrata Candidemia,needs_review
A5111738208,Dong‐Wook Ryang,55,1,P0006,Chonnam National University; Chonnam National University Hospital; Chonnam National University Hwasun Hospital,KR,yes,55,An improved flow cytometry-based natural killer cytotoxicity assay involving calcein AM staining of effector cells.,needs_review
A5102745188,Vanaraj Ramkumar,54,1,P0012,"Anna University, Chennai; Kalasalingam Academy of Research and Education; Saveetha University; Yeungnam University",IN; KR,yes,54,"Update on Chitosan-Based Hydrogels: Preparation, Characterization, and Its Antimicrobial and Antibiofilm Applications",needs_review
A5004166441,Seok Jin Kim,47,2,P0006; P0007,Dong-A University; Dong-A University Hospital; Kangbuk Samsung Hospital; Korea University Medical Center; Samsung (South Korea); Samsung Medical Center; Seoul National University Hospital; Stem Cell Institute; Sungkyunkwan University; University of Ulsan,KR; PA,yes,50,Avelumab for the treatment of relapsed or refractory extranodal NK/T-cell lymphoma: an open-label phase 2 study,needs_review
A5012791367,Inpyo Choi,45,2,P0001; P0011,Genomics (United Kingdom); Ingenium (Germany); Korea Research Institute of Bioscience and Biotechnology; Korea University of Science and Technology,DE; GB; KR,yes,48,MicroRNA-150 regulates the cytotoxicity of natural killers by targeting perforin-1,needs_review
A5055104158,Sun‐Woong Kang,43,2,P0002; P0007,CHA University; Hanyang University; Korea Institute of Science and Technology; Korea Institute of Toxicology; Massachusetts Institute of Technology; New Generation University College; Seoul National University; Stem Cell Institute,ET; KR; PA; US,yes,46,Apatite‐coated poly(lactic‐co‐glycolic acid) microspheres as an injectable scaffold for bone tissue engineering,needs_review
A5035829948,Raja Thiruvothur Venkatesan,45,1,P0012,Saveetha University; Yeungnam University,IN; KR,yes,45,"Green synthesis, characterization, antibacterial, and antifungal activity of copper oxide nanoparticles derived from Morinda citrifolia leaf extract",needs_review
A5103473970,Cha Yong Choi,41,2,P0002; P0007,Ajou University; Bio-Medical Science (South Korea); Hanyang University; Kyung Hee University; New Generation University College; Seoul National University; Seoul National University of Science and Technology,ET; KR,yes,44,Synthesis and Characterization of Polyethylenimine-Graft-Poly(L-Lactide-Co-Glycolide) Block Copolymers for Gene Delivery,needs_review
A5090832721,Hyun Cheol Chung,43,1,P0007,Ajou University; Cancer Research Center; Ewha Womans University; Korea Institute of Brain Science; Korea University Medical Center; Norwegian Womens Public Health Association; Yonsei Cancer Hospital; Yonsei University,KR; NO; US,yes,43,Changing Patterns of Prognosticators During 15-Year Follow-Up of Advanced Gastric Cancer after Radical Gastrectomy and Adjuvant Chemotherapy: A 15-Year Follow-Up Study at a Single Korean Institute,needs_review
A5030367192,Madhappan Santhamoorthy,41,1,P0012,Saveetha University; Yeungnam University,IN; KR,yes,41,"Update on Chitosan-Based Hydrogels: Preparation, Characterization, and Its Antimicrobial and Antibiofilm Applications",needs_review
A5021758819,Suk Ran Yoon,38,2,P0001; P0011,Korea Research Institute of Bioscience and Biotechnology; Korea University of Science and Technology,KR,yes,41,NgR1 is an NK cell inhibitory receptor that destabilizes the immunological synapse,needs_review
A5023527480,Yong Park,38,2,P0006; P0007,Kangwon National University; Korea University; Korea University Medical Center; New Generation University College; Scripps Korea Antibody Institute,ET; JP; KR,yes,41,Single‐dose etoposide is an effective and safe protocol for stem cell mobilization in patients with multiple myeloma,needs_review
