openalex_id,display_name,current_affiliation,shared_paper_count,seed_connection_count,connected_seed_professor_ids,web_title,web_url,auto_confidence,auto_reason,triage_tier
A5100429324,Sung‐Hoon Kim,Biocon (Switzerland); Yonsei University; Kyung Hee University; Gangnam Severance Hospital,218,38,P0020; P0025; P0028; P0029; P0031; P0040; P0051; P0057; P0072; P0083; P0090; P0093; P0098; P0100; P0102; P0107; P0117; P0201; P0203; P0206; P0209; P0211; P0216; P0236; P0252; P0253; P0254; P0255; P0284; P0285; P0291; P0324; P0332; P0337; P0339; P0364; P0481; P0486,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5033254577,Sun Hee Sung,Ewha Womans University; Ewha Womans University Mokdong Hospital,70,33,P0285; P0317; P0319; P0322; P0325; P0326; P0342; P0343; P0349; P0350; P0354; P0355; P0359; P0365; P0368; P0376; P0384; P0393; P0394; P0403; P0407; P0408; P0409; P0414; P0422; P0428; P0434; P0435; P0440; P0442; P0444; P0445; P0456,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100335103,Young Ho Kim,Chungnam National University; Material Physics Center; Naval Research Laboratory Materials Science and Technology Division,57,29,P0028; P0038; P0040; P0042; P0050; P0051; P0055; P0060; P0072; P0090; P0114; P0145; P0197; P0205; P0214; P0232; P0278; P0306; P0312; P0324; P0346; P0349; P0358; P0371; P0384; P0445; P0447; P0471; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5039821208,Eun‐Hee Ha,Ewha Womans University; Ewha Womans University Medical Center,156,29,P0079; P0317; P0319; P0324; P0327; P0334; P0335; P0337; P0347; P0349; P0351; P0354; P0364; P0365; P0391; P0393; P0407; P0408; P0409; P0420; P0422; P0424; P0430; P0434; P0438; P0444; P0446; P0453; P0517,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100363762,Ho Kim,Ulsan College; Gachon University; University of Minnesota; Seoul National University; Gyeongsang National University; Inha University; Yonsei University; Chungnam National University; Asan Medical Center; University of Ulsan; National Cancer Center; Minnesota Department of Health; Pusan National University; National Institute of Environmental Research; Sungkyunkwan University,50,28,P0007; P0028; P0030; P0034; P0036; P0051; P0053; P0057; P0072; P0117; P0135; P0142; P0153; P0154; P0197; P0206; P0277; P0317; P0324; P0332; P0334; P0337; P0365; P0407; P0438; P0446; P0450; P0504,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5033086793,Sang Kook Lee,Ulsan College; Seoul National University; Yonsei University; Severance Hospital; Asan Medical Center; Samsung Medical Center; New Generation University College; University of Ulsan; National University; Pusan National University Hospital; National University College; Sungkyunkwan University,122,26,P0028; P0032; P0034; P0035; P0036; P0038; P0040; P0042; P0044; P0055; P0056; P0057; P0079; P0197; P0205; P0211; P0216; P0231; P0284; P0295; P0324; P0339; P0357; P0430; P0486; P0492,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5030505336,Hye Ah Lee,Ewha Womans University; Ewha Womans University Mokdong Hospital,84,25,P0130; P0317; P0319; P0322; P0324; P0325; P0337; P0345; P0354; P0365; P0379; P0380; P0384; P0394; P0407; P0414; P0416; P0427; P0428; P0435; P0438; P0445; P0446; P0453; P0454,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100438953,Hyun Soo Kim,Ansan University; Kyung Hee University; Korea Research Institute of Chemical Technology,73,25,P0025; P0028; P0030; P0051; P0057; P0072; P0075; P0079; P0117; P0123; P0246; P0249; P0250; P0275; P0306; P0326; P0332; P0337; P0339; P0384; P0403; P0484; P0498; P0500; P0518,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5057807816,Je Kyung Seong,Seoul National University; Cancer Research Institute; Creative Research; National University College; Research Institute for Veterinary Science,48,25,P0011; P0028; P0032; P0033; P0034; P0036; P0040; P0051; P0091; P0115; P0141; P0157; P0257; P0267; P0277; P0279; P0291; P0337; P0339; P0357; P0404; P0414; P0451; P0496; P0498,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5025505694,Dong‐Ryeol Ryu,Kangwon National University Hospital,57,25,P0064; P0205; P0317; P0319; P0326; P0330; P0335; P0345; P0346; P0349; P0359; P0364; P0366; P0379; P0383; P0388; P0400; P0408; P0416; P0421; P0430; P0434; P0438; P0446; P0447,,,0.5,manual review needed,A_review_first
A5008363538,Inho Jo,Ewha Womans University; Sangmyung University; Korea Maritime and Ocean University; Korean Register (South Korea),67,24,P0090; P0192; P0277; P0317; P0324; P0325; P0332; P0337; P0349; P0358; P0361; P0364; P0368; P0379; P0383; P0384; P0393; P0403; P0416; P0422; P0428; P0445; P0447; P0456,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5089673584,Sung-Ae Jung,Ewha Womans University,197,24,P0201; P0317; P0319; P0330; P0335; P0351; P0355; P0356; P0359; P0361; P0368; P0384; P0388; P0393; P0408; P0424; P0428; P0444; P0445; P0446; P0453; P0457; P0482; P0509,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5047459123,Min-Sun Cho,Ewha Womans University; Ewha Womans University Medical Center; Ewha Womans University Mokdong Hospital; Ewha Womans University Seoul Hospital; Korea Advanced Institute of Science and Technology; Yonsei University,44,23,P0324; P0326; P0350; P0355; P0356; P0359; P0364; P0371; P0384; P0388; P0393; P0408; P0409; P0428; P0429; P0436; P0441; P0442; P0444; P0445; P0449; P0453; P0456,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5069050806,Seock‐Ah Im,Seoul National University; Seoul National University Hospital,54,22,P0028; P0029; P0040; P0057; P0075; P0079; P0114; P0115; P0253; P0324; P0337; P0350; P0354; P0355; P0384; P0393; P0414; P0428; P0449; P0453; P0456; P0498,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100345275,Young‐Hoon Kim,California Institute of Technology; Seoul National University; Korea Advanced Institute of Science and Technology; George Mason University; Inha University; Yonsei University; Korea University; Korea University Medical Center; Korea Aerospace Research Institute; LG (United States); Kyungpook National University; LG (South Korea); The Catholic University of Korea Seoul St. Mary's Hospital; Korea University; Korea University Anam Hospital; Sungkyunkwan University,25,22,P0007; P0012; P0013; P0043; P0060; P0064; P0071; P0073; P0090; P0102; P0123; P0172; P0205; P0214; P0262; P0324; P0337; P0342; P0399; P0434; P0474; P0494,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5078895940,Dae‐Duk Kim,Seoul National University; New Generation University College; National University,101,22,P0032; P0034; P0036; P0038; P0040; P0044; P0050; P0053; P0056; P0090; P0097; P0108; P0149; P0197; P0208; P0211; P0285; P0295; P0302; P0324; P0367; P0464,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100419677,Eun Young Lee,Chungbuk National University; Samsung (South Korea); Soonchunhyang University; Central Washington University; Chungbuk National University Hospital; Dankook University,39,21,P0030; P0058; P0067; P0093; P0098; P0115; P0117; P0135; P0137; P0206; P0228; P0241; P0316; P0317; P0326; P0339; P0444; P0453; P0471; P0488; P0493,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100694945,Seong‐Eun Kim,Ewha Womans University; Chosun University; Seoul National University Bundang Hospital; Ewha Womans University Mokdong Hospital,160,21,P0001; P0007; P0257; P0319; P0330; P0355; P0356; P0359; P0384; P0388; P0393; P0409; P0418; P0424; P0428; P0442; P0444; P0445; P0446; P0453; P0482,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5018197382,Bom Sahn Kim,Ewha Womans University; Ewha Womans University Medical Center,58,20,P0123; P0233; P0318; P0325; P0330; P0338; P0346; P0349; P0354; P0359; P0364; P0366; P0384; P0388; P0399; P0400; P0405; P0414; P0428; P0445,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5089580617,Min Ho Kim,Ewha Womans University; Korea Advanced Institute of Science and Technology; Kyung Hee University; Dongwha Pharm (South Korea); Ewha Womans University Medical Center; Ewha Womans University Seoul Hospital; Sungkyunkwan University,36,20,P0091; P0189; P0201; P0206; P0255; P0317; P0334; P0337; P0349; P0365; P0379; P0384; P0386; P0407; P0416; P0428; P0430; P0445; P0446; P0453,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5088594015,Sang‐Won Lee,Jeonju National University of Education; Yonsei University; Leon Wiltse Memorial Hospital; Jeonbuk National University,30,20,P0073; P0182; P0197; P0205; P0253; P0255; P0257; P0265; P0277; P0297; P0316; P0339; P0346; P0359; P0365; P0408; P0429; P0436; P0468; P0499,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100443628,Kwangsoo Kim,Seoul National University of Science and Technology; Seoul National University; New Generation University College; Seoul National University Hospital; Seoul National University Bundang Hospital; Chonnam National University Hospital; Institute of Crop Science,70,19,P0013; P0026; P0043; P0050; P0056; P0064; P0067; P0071; P0079; P0098; P0114; P0205; P0408; P0430; P0475; P0476; P0481; P0482; P0485,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100757543,Soo Hyun Lee,Palo Alto University; Korea University Medical Center; Kyung Hee University; Union Hospital; Korea University; Korea University Anam Hospital; Dong-A University; Smith-Kettlewell Eye Research Institute; Stanford University,46,19,P0006; P0013; P0016; P0028; P0040; P0051; P0058; P0079; P0086; P0250; P0253; P0349; P0389; P0394; P0456; P0457; P0474; P0482; P0487,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100444546,Sanghyun Lee,Seoul National University; Kangwon National University; University of Michigan; Institute of Science and Technology; Ulsan National Institute of Science and Technology; Korea Institute of Science and Technology; Chung-Ang University; Dankook University,36,19,P0041; P0051; P0121; P0161; P0167; P0177; P0189; P0205; P0223; P0225; P0236; P0240; P0243; P0265; P0306; P0324; P0339; P0360; P0422,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100360892,Min Jung Kim,University of British Columbia; Pusan National University Yangsan Hospital,40,19,P0057; P0061; P0098; P0114; P0115; P0205; P0206; P0228; P0275; P0291; P0297; P0301; P0332; P0401; P0408; P0435; P0493; P0498; P0500,,,0.5,manual review needed,A_review_first
A5100692942,Hee‐Jin Kim,Samsung Medical Center; Seoul National University Hospital; Pusan National University Hospital; Sungkyunkwan University,68,18,P0006; P0013; P0014; P0028; P0029; P0040; P0162; P0250; P0316; P0325; P0350; P0355; P0368; P0429; P0449; P0456; P0484; P0499,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100390285,Jin‐Soo Kim,Chung-Ang University Hospital; Gyeongsang National University; Institute for Basic Science; Koje College; Korea Basic Science Institute; Korea Research Institute of Bioscience and Biotechnology; Korea University; Korea University of Science and Technology; National University College; New Generation University College; SNUH SMG-SNU Boramae Medical Center; Seoul National University; Seoul National University Hospital; Seoul National University of Education; ToolGen (South Korea),67,18,P0002; P0029; P0040; P0051; P0056; P0066; P0067; P0072; P0083; P0114; P0167; P0199; P0230; P0243; P0256; P0306; P0442; P0473,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5106557026,Young Tae Kim,Seoul National University; Cancer Research Institute; Seoul National University Hospital,60,18,P0007; P0014; P0025; P0051; P0057; P0072; P0075; P0079; P0114; P0219; P0316; P0326; P0337; P0340; P0354; P0355; P0357; P0394,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5005022842,Wonshik Han,Seoul National University; Cancer Research Institute; Seoul National University Hospital; National University College,58,18,P0028; P0029; P0051; P0057; P0067; P0079; P0093; P0114; P0324; P0329; P0345; P0354; P0394; P0414; P0454; P0464; P0484; P0486,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5064042428,Kyoung Ae Kong,Ewha Womans University,46,18,P0319; P0325; P0330; P0334; P0337; P0341; P0364; P0365; P0384; P0409; P0424; P0428; P0431; P0438; P0444; P0446; P0453; P0458,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5090254873,Kwang Pyo Kim,Kangwon National University; Kyung Hee University; Kyung Hee University Medical Center; Sungkyunkwan University,37,18,P0007; P0022; P0023; P0060; P0067; P0068; P0072; P0073; P0117; P0163; P0205; P0245; P0253; P0260; P0291; P0339; P0475; P0514,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5101534267,Kyoung Eun Lee,Pohang University of Science and Technology; Ewha Womans University; University of Michigan; Seoul National University Hospital; Seoul National University Bundang Hospital; National Cancer Center; Pusan National University Yangsan Hospital,34,18,P0028; P0040; P0322; P0335; P0349; P0350; P0354; P0355; P0356; P0393; P0394; P0409; P0414; P0427; P0434; P0435; P0449; P0456,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5000424971,Dong‐Chan Oh,Seoul National University; New Generation University College; National University,70,17,P0032; P0033; P0035; P0036; P0038; P0042; P0044; P0053; P0055; P0057; P0086; P0197; P0285; P0295; P0339; P0486; P0492,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100643662,Taesung Park,Seoul National University; National University College,54,17,P0028; P0040; P0043; P0057; P0078; P0100; P0105; P0201; P0205; P0231; P0240; P0249; P0337; P0463; P0484; P0493; P0503,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5001348492,Murim Choi,Seoul National University; New Generation University College; National University College,53,17,P0013; P0014; P0020; P0028; P0029; P0056; P0057; P0060; P0064; P0066; P0067; P0068; P0075; P0079; P0114; P0439; P0477,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
