professor_id,kind,rank,term,term_en,score
P0733,keyword,1,Autism Spectrum Disorder,Autism Spectrum Disorder,61.061
P0733,keyword,2,Synapses,Synapses,49.906
P0733,keyword,3,"Receptors, N-Methyl-D-Aspartate","Receptors, N-Methyl-D-Aspartate",44.027
P0733,keyword,4,Excitatory postsynaptic potential,Excitatory postsynaptic potential,41.619
P0733,keyword,5,Neuroscience,Neuroscience,36.881
P0733,keyword,6,Synaptic Transmission,Synaptic Transmission,36.291
P0733,keyword,7,Autism,Autism,35.253
P0733,keyword,8,Nerve Tissue Proteins,Nerve Tissue Proteins,31.187
P0733,keyword,9,NMDA receptor,NMDA receptor,27.356
P0733,keyword,10,Postsynaptic potential,Postsynaptic potential,26.85
P0733,keyword,11,Synapse,Synapse,26.732
P0733,keyword,12,Postsynaptic density,Postsynaptic density,21.53
P0733,technique,1,유전자변형 마우스,Genetically Modified Mice,21.07
P0733,technique,2,RNA-seq·전사체,RNA-seq / Transcriptomics,8.766
P0733,technique,3,광유전학,Optogenetics,6.777
P0733,technique,4,전기생리,Electrophysiology,5.335
P0733,technique,5,MRI·PET 영상,MRI / PET Imaging,2.808
P0733,technique,6,단백체,Proteomics,1.726
P0733,technique,7,생물정보·계산생물,Bioinformatics,1.392
P0733,technique,8,머신러닝·AI,Machine Learning / AI,1.224
P0413,keyword,1,Iliopsoas Muscle,Iliopsoas Muscle,0.328
P0413,keyword,2,Iliopsoas,Iliopsoas,0.324
P0413,keyword,3,Femoral nerve,Femoral nerve,0.252
P0413,keyword,4,Hematoma,Hematoma,0.216
P0413,keyword,5,Low molecular weight heparin,Low molecular weight heparin,0.144
P0413,keyword,6,Spinal disease,Spinal disease,0.132
P0413,keyword,7,Heparin,Heparin,0.116
P0413,keyword,8,Subdural Hematomas,Subdural Hematomas,0.113
P0413,keyword,9,Lumbar puncture,Lumbar puncture,0.08
P0413,keyword,10,Surgery,Surgery,0.06
P0413,keyword,11,Lumbar,Lumbar,0.055
P0413,keyword,12,Anatomy,Anatomy,0.03
P0252,keyword,1,Biosensing Techniques,Biosensing Techniques,30.694
P0252,keyword,2,Bioreporter,Bioreporter,20.587
P0252,keyword,3,Operon,Operon,17.518
P0252,keyword,4,Biosensor,Biosensor,16.319
P0252,keyword,5,Escherichia coli,Escherichia coli,14.107
P0252,keyword,6,Genetic Engineering,Genetic Engineering,8.401
P0252,keyword,7,Transcription Factors,Transcription Factors,7.748
P0252,keyword,8,Soil Pollutants,Soil Pollutants,7.513
P0252,keyword,9,Arsenic,Arsenic,7.485
P0252,keyword,10,"Metals, Heavy","Metals, Heavy",7.352
P0252,keyword,11,Pseudomonas putida,Pseudomonas putida,7.135
P0252,keyword,12,Salicylic acid,Salicylic acid,6.779
P0252,technique,1,애기장대·식물 모델,Arabidopsis,5.273
P0252,technique,2,분자도킹·시뮬레이션,Molecular Docking / Dynamics,3.138
P0252,technique,3,나노입자·약물전달,Nanoparticles / Drug Delivery,1.868
P0252,technique,4,생물정보·계산생물,Bioinformatics,1.737
P0252,technique,5,초파리,Drosophila,0.577
P0252,technique,6,RNA-seq·전사체,RNA-seq / Transcriptomics,0.548
P0252,technique,7,형광·공초점 이미징,Fluorescence / Confocal Imaging,0.547
P0252,technique,8,전자현미경,Electron Microscopy,0.231
P0156,keyword,1,Stromal tumor,Stromal tumor,20.591
P0156,keyword,2,Stromal cell,Stromal cell,18.416
P0156,keyword,3,GiST,GiST,15.89
P0156,keyword,4,microRNA,microRNA,12.646
P0156,keyword,5,Cancer research,Cancer research,9.346
P0156,keyword,6,Gastrointestinal Stromal Tumors,Gastrointestinal Stromal Tumors,7.763
P0156,keyword,7,Cell growth,Cell growth,7.429
P0156,keyword,8,Proto-Oncogene Proteins c-kit,Proto-Oncogene Proteins c-kit,6.886
P0156,keyword,9,Golgi Apparatus,Golgi Apparatus,6.582
P0156,keyword,10,Gastrointestinal Neoplasms,Gastrointestinal Neoplasms,5.702
P0156,keyword,11,Activating Transcription Factor 6,Activating Transcription Factor 6,5.057
P0156,keyword,12,Carcinogenesis,Carcinogenesis,4.174
P0156,technique,1,웨스턴블롯,Western Blot,2.062
P0156,technique,2,RNA-seq·전사체,RNA-seq / Transcriptomics,1.412
P0156,technique,3,유세포분석,Flow Cytometry,1.048
P0156,technique,4,면역조직화학,Immunohistochemistry,0.726
P0156,technique,5,qPCR,Real-time PCR,0.489
P0156,technique,6,생물정보·계산생물,Bioinformatics,0.187
P0129,keyword,1,Hydrology (agriculture),Hydrology (agriculture),25.049
P0129,keyword,2,Watershed,Watershed,21.779
P0129,keyword,3,Environmental science,Environmental science,17.328
P0129,keyword,4,Surface runoff,Surface runoff,16.931
P0129,keyword,5,Water balance,Water balance,13.472
P0129,keyword,6,Inflow,Inflow,12.591
P0129,keyword,7,Flood myth,Flood myth,10.612
P0129,keyword,8,Water resource management,Water resource management,8.66
P0129,keyword,9,Irrigation,Irrigation,7.422
P0129,keyword,10,Water quality,Water quality,6.697
P0129,keyword,11,Hydrological modelling,Hydrological modelling,6.643
P0129,keyword,12,Outflow,Outflow,6.632
P0129,technique,1,머신러닝·AI,Machine Learning / AI,0.915
P0373,keyword,1,Lymphedema,Lymphedema,9.13
P0373,keyword,2,Gait,Gait,5.625
P0373,keyword,3,Manual Lymphatic Drainage,Manual Lymphatic Drainage,4.67
P0373,keyword,4,Lymphatic Vessels,Lymphatic Vessels,4.203
P0373,keyword,5,Lymphography,Lymphography,4.177
P0373,keyword,6,Low-Level Light Therapy,Low-Level Light Therapy,4.064
P0373,keyword,7,Gait analysis,Gait analysis,3.841
P0373,keyword,8,Physical medicine and rehabilitation,Physical medicine and rehabilitation,3.642
P0373,keyword,9,Virtual reality,Virtual reality,3.431
P0373,keyword,10,Low level laser therapy,Low level laser therapy,2.886
P0373,keyword,11,Electric Impedance,Electric Impedance,2.667
P0373,keyword,12,Asian games,Asian games,2.568
P0373,technique,1,임상시험,Clinical Trials,1.524
P0373,technique,2,머신러닝·AI,Machine Learning / AI,0.216
P0495,keyword,1,Trinitrobenzenesulfonic Acid,Trinitrobenzenesulfonic Acid,16.454
P0495,keyword,2,Colitis,Colitis,12.22
P0495,keyword,3,Colon,Colon,7.617
