professor_id,works,학,병,연,산,sectors
P0484,79,0.532,0.646,0.0,0.089,학;병
P0028,411,0.652,0.903,0.007,0.277,학;병;산
P0166,85,0.976,0.0,0.082,0.047,학
P0466,60,1.0,0.0,0.083,0.0,학
P0057,98,0.918,0.122,0.286,0.0,학;연
P0079,107,0.832,0.308,0.019,0.0,학;병
P0192,48,0.604,0.0,0.604,0.208,학;연;산
P0040,151,0.967,0.04,0.146,0.007,학
P0544,37,0.946,0.027,0.0,0.027,학
P0762,121,0.992,0.033,0.017,0.008,학
P0409,137,0.854,0.38,0.007,0.007,학;병
P0524,30,0.7,0.5,0.067,0.0,학;병
P0677,49,0.959,0.082,0.0,0.0,학
P0755,36,1.0,0.0,0.028,0.0,학
P0031,17,0.471,0.941,0.0,0.0,학;병
P0354,41,0.805,0.439,0.049,0.0,학;병
P0502,16,1.0,0.0,0.0,0.0,학
P0210,49,1.0,0.0,0.0,0.0,학
P0388,72,0.986,0.083,0.0,0.0,학
P0042,133,1.0,0.0,0.023,0.0,학
P0155,24,1.0,0.375,0.0,0.0,학;병
P0746,35,0.914,0.686,0.429,0.086,학;병;연
P0181,91,1.0,0.0,0.011,0.0,학
P0194,181,1.0,0.006,0.006,0.0,학
P0757,43,1.0,0.0,0.0,0.0,학
P0291,125,0.968,0.016,0.016,0.032,학
P0655,19,1.0,0.0,0.105,0.0,학
P0482,72,0.958,0.542,0.014,0.014,학;병
P0068,46,0.913,0.043,0.087,0.0,학
P0341,43,0.767,0.279,0.0,0.07,학;병
P0104,42,1.0,0.0,0.024,0.0,학
P0676,31,1.0,0.0,0.0,0.0,학
P0359,35,1.0,0.171,0.0,0.0,학
P0536,176,1.0,0.04,0.017,0.034,학
P0010,72,0.986,0.0,0.236,0.014,학;연
P0008,32,1.0,0.0,0.062,0.031,학
P0002,83,1.0,0.0,0.193,0.012,학
P0392,27,0.593,0.519,0.0,0.0,학;병
P0361,24,0.833,0.125,0.042,0.0,학
P0326,65,0.831,0.431,0.046,0.031,학;병
P0364,40,0.975,0.05,0.0,0.0,학
P0582,54,0.907,0.204,0.0,0.0,학;병
P0590,107,0.897,0.112,0.14,0.037,학
P0451,45,0.933,0.044,0.044,0.0,학
P0092,79,1.0,0.038,0.0,0.0,학
P0075,150,0.893,0.34,0.12,0.053,학;병
P0078,68,0.941,0.471,0.029,0.0,학;병
P0211,29,1.0,0.034,0.034,0.0,학
P0525,11,0.273,0.818,0.0,0.0,학;병
P0627,44,0.568,0.659,0.023,0.023,학;병
P0644,28,0.75,0.25,0.0,0.0,학;병
P0670,26,0.731,0.154,0.115,0.0,학
P0759,82,0.817,0.171,0.11,0.0,학
P0249,10,0.9,0.0,0.1,0.1,학
P0322,73,0.63,0.74,0.0,0.0,학;병
P0414,82,0.805,0.671,0.0,0.0,학;병
P0177,12,1.0,0.083,0.0,0.0,학
P0485,83,0.867,0.687,0.0,0.0,학;병
P0330,25,0.92,0.12,0.0,0.0,학
P0025,189,0.847,0.915,0.026,0.026,학;병
P0703,53,1.0,0.0,0.0,0.0,학
P0097,76,0.842,0.237,0.0,0.0,학;병
P0697,23,1.0,0.0,0.0,0.0,학
P0440,30,0.933,0.233,0.0,0.0,학;병
P0095,71,1.0,0.028,0.014,0.0,학
P0630,31,0.129,0.903,0.0,0.0,병
P0394,43,0.907,0.674,0.0,0.0,학;병
P0021,109,0.936,0.028,0.211,0.0,학;연
