relationship_id,professor_a_id,professor_b_id,relationship_type,collaboration_paper_count,evidence_url,verified,notes
LIN000001,P0013,P0020,advisor_student,14,https://doi.org/10.1182/blood.v120.21.5042.5042,auto,inferred from 14 first-author papers (2012-2015) with A as last author
LIN000002,P0587,P0636,postdoc_mentor,12,https://doi.org/10.21053/ceo.2021.00073,auto,inferred from 12 first-author papers (2021-2026) with A as last author
LIN000003,P0097,P0703,advisor_student,11,https://doi.org/10.1007/s12272-012-0912-2,auto,inferred from 11 first-author papers (2012-2017) with A as last author
LIN000004,P0194,P0181,advisor_student,10,https://doi.org/10.1007/s12374-016-0552-z,auto,inferred from 10 first-author papers (2017-2022) with A as last author
LIN000005,P0066,P0777,postdoc_mentor,6,https://doi.org/10.3390/ijms22126397,auto,inferred from 6 first-author papers (2021-2023) with A as last author
LIN000006,P0440,P0376,advisor_student,4,,auto,inferred from 4 first-author papers (2006-2011) with A as last author
LIN000007,P0550,P0558,advisor_student,4,https://doi.org/10.5187/jast.2023.e116,auto,inferred from 4 first-author papers (2023-2024) with A as last author
LIN000008,P0185,P0184,advisor_student,4,https://doi.org/10.1021/jf903939y,auto,inferred from 4 first-author papers (2010-2011) with A as last author
LIN000009,P0205,P0798,postdoc_mentor,4,https://doi.org/10.1017/s0266462317000150,auto,inferred from 4 first-author papers (2017-2021) with A as last author
LIN000010,P0590,P0644,advisor_student,3,https://doi.org/10.5021/ad.2018.30.3.382,auto,inferred from 3 first-author papers (2018-2022) with A as last author
LIN000011,P0095,P0694,postdoc_mentor,3,https://doi.org/10.21203/rs.3.rs-1092054/v1,auto,inferred from 3 first-author papers (2021-2024) with A as last author
LIN000012,P0597,P0620,advisor_student,3,https://doi.org/10.3904/kjim.2017.050,auto,inferred from 3 first-author papers (2017-2020) with A as last author
LIN000013,P0379,P0416,advisor_student,3,,auto,inferred from 3 first-author papers (2014-2018) with A as last author
LIN000014,P0542,P0547,advisor_student,3,,auto,inferred from 3 first-author papers (2011-2014) with A as last author
LIN000015,P0099,P0491,postdoc_mentor,3,https://doi.org/10.5414/cp202409,auto,inferred from 3 first-author papers (2015-2016) with A as last author
LIN000016,P0532,P0535,advisor_student,3,https://doi.org/10.5853/kjs.2012.14.1.12,auto,inferred from 3 first-author papers (2012-2016) with A as last author
